,support,itemsets
0,0.22033898305084745,"frozenset({'VHT2A_C102T: TT', '7'})"
1,0.23728813559322035,"frozenset({'7', 'TPH1_Intron9: cc', 'TPH1_intron1b: AA'})"
2,0.2542372881355932,"frozenset({'7', 'TPH1_Intron9: tt'})"
3,0.3050847457627119,"frozenset({'7', 'VHT2A_C102T: CC'})"
4,0.23728813559322035,"frozenset({'7', 'TPH1_intron1b: AT', 'TPH1_Intron9: ct'})"
5,0.2033898305084746,"frozenset({'7', 'TPH1_intron1b: AA', 'VHT2A_C102T: CT'})"
6,0.22033898305084745,"frozenset({'7', 'TPH1_Intron9: ct', 'VHT2A_C102T: CT'})"
7,0.2711864406779661,"frozenset({'7', 'TPH1_Intron9: ct', 'TPH1_intron1b: AA'})"
