,support,itemsets
0,0.3333333333333333,"frozenset({'VHT2A_C102T: CC', '4'})"
1,0.24242424242424243,"frozenset({'TPH1_intron1b: AT', 'TPH1_Intron9: tt', '4'})"
2,0.24242424242424243,"frozenset({'TPH1_Intron9: tt', 'VHT2A_C102T: CT', '4'})"
3,0.24242424242424243,"frozenset({'TPH1_intron1b: AT', 'VHT2A_C102T: CT', '4'})"
4,0.2727272727272727,"frozenset({'TPH1_Intron9: ct', 'VHT2A_C102T: CT', '4'})"
5,0.30303030303030304,"frozenset({'TPH1_Intron9: ct', 'TPH1_intron1b: AA', '4'})"
6,0.2727272727272727,"frozenset({'TPH1_intron1b: AA', 'VHT2A_C102T: CT', '4'})"
