,support,itemsets
0,0.20388349514563106,"frozenset({'TPH1_intron1b: TT', 'TPH1_Intron9: tt', '6'})"
1,0.3106796116504854,"frozenset({'VHT2A_C102T: CC', '6'})"
2,0.20388349514563106,"frozenset({'TPH1_intron1b: AT', 'TPH1_Intron9: ct', '6'})"
3,0.20388349514563106,"frozenset({'TPH1_Intron9: tt', 'VHT2A_C102T: CT', '6'})"
4,0.22330097087378642,"frozenset({'TPH1_Intron9: ct', 'TPH1_intron1b: AA', '6'})"
5,0.23300970873786409,"frozenset({'TPH1_intron1b: AA', 'VHT2A_C102T: CT', '6'})"
6,0.22330097087378642,"frozenset({'TPH1_Intron9: ct', 'VHT2A_C102T: CT', '6'})"
