,support,itemsets
0,0.2222222222222222,"frozenset({'MAOA_Promo: 2 2', '4'})"
1,0.24444444444444444,"frozenset({'MAOA_Promo: 1 2', '4'})"
2,0.3111111111111111,"frozenset({'TPH1_Intron3: 216 216', '4'})"
3,0.36666666666666664,"frozenset({'MAOA_Promo: 2', '4'})"
4,0.4888888888888889,"frozenset({'TPH1_Intron3: 216 217', '4'})"
