,support,itemsets
0,0.22727272727272727,"frozenset({'VHT2A_C102T: TT', '5'})"
1,0.2727272727272727,"frozenset({'5', 'TPH1_Intron4: TC'})"
2,0.20454545454545456,"frozenset({'VHT2A_C102T: CC', 'TPH1_Intron4: CC', '5'})"
3,0.38636363636363635,"frozenset({'TPH1_Intron9: tt', '5'})"
4,0.20454545454545456,"frozenset({'TPH1_Intron9: ct', 'VHT2A_C102T: CT', '5'})"
5,0.3068181818181818,"frozenset({'TPH1_Intron4: CC', 'TPH1_Intron9: ct', '5'})"
6,0.2727272727272727,"frozenset({'TPH1_Intron4: CC', 'VHT2A_C102T: CT', '5'})"
