,support,itemsets
0,0.2803738317757009,"frozenset({'TPH1_Intron3: 216 216', '3'})"
1,0.34345794392523366,"frozenset({'@_httpb_promoteur: LL', '3'})"
2,0.20327102803738317,"frozenset({'TPH1_intron1b: AA', '@_httpb_promoteur: SL', '3'})"
3,0.24766355140186916,"frozenset({'TPH1_intron1b: AA', 'TPH1_Intron3: 216 217', '3'})"
4,0.20327102803738317,"frozenset({'TPH1_intron1b: AT', '@_httpb_promoteur: SL', '3'})"
5,0.26869158878504673,"frozenset({'TPH1_intron1b: AT', 'TPH1_Intron3: 216 217', '3'})"
6,0.2523364485981308,"frozenset({'TPH1_Intron3: 216 217', '@_httpb_promoteur: SL', '3'})"
