,support,itemsets
0,0.21739130434782608,"frozenset({'12', 'TPH1_Intron3: 217 217'})"
1,0.2560386473429952,"frozenset({'12', '@_httpb_promoteur: LL'})"
2,0.26570048309178745,"frozenset({'12', 'TPH1_Intron3: 216 216'})"
3,0.25120772946859904,"frozenset({'TPH1_intron1b: AT', '12', 'TPH1_Intron3: 216 217'})"
4,0.22705314009661837,"frozenset({'12', 'TPH1_Intron3: 216 217', 'TPH1_intron1b: AA'})"
5,0.25120772946859904,"frozenset({'TPH1_Intron3: 216 217', '12', '@_httpb_promoteur: SL'})"
6,0.28502415458937197,"frozenset({'12', '@_httpb_promoteur: SL', 'TPH1_intron1b: AA'})"
