,support,itemsets
0,0.3010752688172043,"frozenset({'TPH1_Intron3: 216 216', '4'})"
1,0.34408602150537637,"frozenset({'@_httpb_promoteur: LL', '4'})"
2,0.25806451612903225,"frozenset({'TPH1_Intron3: 216 217', 'TPH1_intron1b: AA', '4'})"
3,0.25806451612903225,"frozenset({'@_httpb_promoteur: SL', 'TPH1_intron1b: AA', '4'})"
4,0.21505376344086022,"frozenset({'TPH1_intron1b: AT', 'TPH1_Intron3: 216 217', '4'})"
5,0.24731182795698925,"frozenset({'TPH1_Intron3: 216 217', '@_httpb_promoteur: SL', '4'})"
